Component,Weight %,Ticker,Sedol
"VALERO ENERGY",0.3,VLO UN Equity,2041364
"ROYAL BANK OF CANADA",0.3,RY CT Equity,2754383
"PRUDENTIAL FINANCIAL INC",0.3,PRU UN Equity,2819118
"NISSAN MOTOR CO LTD ORD",0.3,7201 JT Equity,6642860
"HOME DEPOT INC",0.3,HD UN Equity,2434209
"ENEL SPA",0.3,ENEL IM Equity,7144569
"SIEMENS",0.29,SIE GY Equity,5727973
"PEPSICO INC",0.29,PEP UN Equity,2681511
"MUENCHENER RUECK",0.29,MUV2 GY Equity,5294121
"WALGREEN BOOTS ALLIANCE INC",0.28,WBA UW Equity,BTN1Y44
"TORONTO-DOMINION BANK",0.28,TD CT Equity,2897222
"ENI SPA",0.28,ENI IM Equity,7145056
"BHP BILLITON LTD",0.28,BHP AT Equity,6144690
"AMERICAN EXPRESS CO",0.28,AXP UN Equity,2026082
"SOCIETE GENERALE",0.27,GLE FP Equity,5966516
"COCA-COLA CO/THE",0.27,KO UN Equity,2206657
"BANK OF NOVA SCOTIA",0.27,BNS CT Equity,2076281
"KDDI CORP (DDI) ORD",0.26,9433 JT Equity,6248990
"EXPRESS SCRIPTS INC",0.26,ESRX UW Equity,B7QQYV9
"DEUTSCHE POST",0.26,DPW GY Equity,4617859
"VISA INC-CLASS A SHARES",0.25,V UN Equity,B2PZN04
"NTT DOCOMO INC.",0.25,9437 JT Equity,6129277
"HP INC",0.25,HPQ UN Equity,BYX4D52
"HITACHI LTD",0.25,6501 JT Equity,6429104
"DEUTSCHE TELEKOM",0.25,DTE GY Equity,5842359
"VINCI SA",0.24,DG FP Equity,B1XH026
"UNITED PARCEL SERVICE-CL B",0.24,UPS UN Equity,2517382
"TARGET CORP",0.24,TGT UN Equity,2259101
"SWISS RE AG",0.24,SREN VX Equity,B545MG5
"SANOFI",0.24,SAN FP Equity,5671735
"MCKESSON CORP",0.24,MCK UN Equity,2378534
"ITOCHU CORP ORD",0.24,8001 JT Equity,6467803
"COMMONWEALTH BANK OF AUSTRAL",0.24,CBA AT Equity,6215035
"UNION PACIFIC CORP",0.23,UNP UN Equity,2914734
"STATOIL ASA",0.23,STL NO Equity,7133608
"ENGIE SA",0.23,ENGI FP Equity,B0C2CQ3
"CONTINENTAL",0.23,CON GY Equity,4598589
"CHUBB LTD",0.23,CB UN Equity,B3BQMF6
"BMW ST",0.23,BMW GY Equity,5756029
"AFLAC INC",0.23,AFL UN Equity,2026361
"3M COMPANY",0.23,MMM UN Equity,2595708
"US BANCORP",0.22,USB UN Equity,2736035
"TIME WARNER INC",0.22,TWX UN Equity,B63QTN2
"PHILLIPS 66",0.22,PSX UN Equity,B78C4Y8
"NORDEA BANK AB",0.22,NDA SS Equity,5380031
"MCDONALDS CORP",0.22,MCD UN Equity,2550707
"DEUTSCHE LUFTHANSA ST",0.22,LHA GY Equity,5287488
"UNILEVER NV",0.21,UNA NA Equity,B12T3J1
"POWER FINANCIAL CORP",0.21,PWF CT Equity,2697864
"NEXTERA ENERGY INC",0.21,NEE UN Equity,2328915
"METLIFE INC",0.21,MET UN Equity,2573209
"IBERDROLA SA",0.21,IBE SQ Equity,B288C92
"GREAT WEST LIFECO",0.21,GWO CT Equity,2384951
"CENTRAL JAPAN RAILWAY CO",0.21,9022 JT Equity,6183552
"TRAVELERS COS INC/THE",0.2,TRV UN Equity,2769503
"POWER CORP OF CANADA",0.2,POW CT Equity,2697701
"MS&AD INS (MITSUI SUMITOMO) ORD",0.2,8725 JT Equity,B2Q4CS1
"LOWES COS INC",0.2,LOW UN Equity,2536763
"EAST JAPAN RAILWAY CO",0.2,9020 JT Equity,6298542
"CARDINAL HEALTH INC",0.2,CAH UN Equity,2175672
"BRIDGESTONE CORP ORD",0.2,5108 JT Equity,6132101
"BANK OF MONTREAL",0.2,BMO CT Equity,2076009
"AMGEN INC",0.2,AMGN UW Equity,2023607
"ALLSTATE CORP",0.2,ALL UN Equity,2019952
"ACCENTURE PLC-CL A",0.2,ACN UN Equity,B4BNMY3
"TAISEI CORP ORD",0.19,1801 JT Equity,6870100
"SUN LIFE FINANCIAL INC",0.19,SLF CT Equity,2566124
"MEDTRONIC PLC",0.19,MDT UN Equity,BTN1Y11
"LENDLEASE GROUP ORD",0.19,LLC AT Equity,6512004
"INTERTEK GROUP PLC",0.19,ITRK LN Equity,3163836
"EURAZEO SE",0.19,RF FP Equity,7042395
"DENSO CORP ORD",0.19,6902 JT Equity,6640381
"CDN. IMPERIAL BANK",0.19,CM CT Equity,2170525
"BCE INC",0.19,BCE CT Equity,B188TH2
"ABB LTD-REG",0.19,ABBN VX Equity,7108899
"V F CORP",0.18,VFC UN Equity,2928683
"VERISIGN INC",0.18,VRSN UW Equity,2142922
"SWEDBANK AB",0.18,SWEDA SS Equity,4846523
"SAP SE",0.18,SAP GY Equity,4846288
"NESTE OYJ",0.18,NESTE FH Equity,B06YV46
"MITSUI CHEMICALS INC",0.18,4183 JT Equity,6597368
"MAGNA INTL. INC.",0.18,MG CT Equity,2554475
"INTESA SANPAOLO SPA",0.18,ISP IM Equity,4076836
"INTACT FINANCIAL CORP.",0.18,IFC CT Equity,B04YJV1
"GLAXOSMITHKLINE PLC",0.18,GSK LN Equity,0925288
"ESTEE LAUDER COMPANIES INC",0.18,EL UN Equity,2320524
"ELISA OYJ",0.18,ELISA FH Equity,5701513
"DANSKE BANK A/S",0.18,DANSKE DC Equity,4588825
"CI FINANCIAL CORP",0.18,CIX CT Equity,B3KT0S5
"CIE GENERALE DES ETABLISSEMENTS MICHELIN",0.18,ML FP Equity,4588364
"WOLTERS KLUWER NV",0.17,WKL NA Equity,5671519
"WH GROUP LTD",0.17,288 HK Equity,BLLHKZ1
"WESTPAC BANKING CORP",0.17,WBC AT Equity,6076146
"WASTE MANAGEMENT INC",0.17,WM UN Equity,2937667
"TJX COMPANIES INC",0.17,TJX UN Equity,2989301
"TEXAS INSTRUMENTS INC",0.17,TXN UW Equity,2885409
"TELEFONICA SA",0.17,TEF SQ Equity,5732524
"SWISSCOM AG",0.17,SCMN VX Equity,5533976
"SMITH & NEPHEW PLC",0.17,SN/ LN Equity,0922320
"SHIMIZU CORP ORD",0.17,1803 JT Equity,6804400
"SHAW COMMUNICATIONS B",0.17,SJR/B CT Equity,2801836
"SCOR SE ORD",0.17,SCR FP Equity,B1LB9P6
"SCHRODERS PLC ORD",0.17,SDR LN Equity,0240549
"SCHLUMBERGER LTD",0.17,SLB UN Equity,2779201
"SAPUTO INC",0.17,SAP CT Equity,2112226
"PROGRESSIVE CORP",0.17,PGR UN Equity,2705024
"PEUGEOT SA",0.17,UG FP Equity,7103526
"NATIONAL GRID PLC",0.17,NG/ LN Equity,BDR05C0
"MOHAWK INDS.",0.17,MHK UN Equity,2598699
"MIRVAC GROUP",0.17,MGR AT Equity,6161978
"MANULIFE FINANCIAL CORP",0.17,MFC CT Equity,2492519
"MANPOWERGROUP INC",0.17,MAN UN Equity,2562490
"LEAR CORP",0.17,LEA UN Equity,B570P91
"LABORATORY CRP OF AMER HLDGS",0.17,LH UN Equity,2586122
"KUEHNE NAGEL INTERNATIONAL LTD",0.17,KNIN VX Equity,B142S60
"KONINKLIJKE DSM NV",0.17,DSM NA Equity,B0HZL93
"KONE OYJ",0.17,KNEBV FH Equity,B09M9D2
"INGREDION INC",0.17,INGR UN Equity,B7K24P7
"ICA GRUPPEN AB",0.17,ICA SS Equity,B0S1651
"HENKEL KGAA VZ",0.17,HEN3 GY Equity,5076705
"GOODMAN GROUP ORD UNIT",0.17,GMG AT Equity,B03FYZ4
"FUJIFILM HOLDINGS CORP ORD",0.17,4901 JT Equity,6356525
"FONCIERE REGIONS (GARAGES SOUT) ORD",0.17,FDR FP Equity,7745638
"CORNING INC",0.17,GLW UN Equity,2224701
"CONTACT ENERGY LTD",0.17,CEN NZ Equity,6152529
"CINCINNATI FINANCIAL CORP",0.17,CINF UW Equity,2196888
"CENTERPOINT ENERGY INC",0.17,CNP UN Equity,2440637
"CARLSBERG AS-B",0.17,CARLB DC Equity,4169219
"CAPITALAND LTD ORD",0.17,CAPL SP Equity,6309303
"CANADIAN NATIONAL RAILWAY CO",0.17,CNR CT Equity,2180632
"BOUYGUES SA",0.17,EN FP Equity,4002121
"BAXTER INTL.",0.17,BAX UN Equity,2085102
"AON PLC",0.17,AON UN Equity,B5BT0K0
"AMPHENOL CORP NEW CL A",0.17,APH UN Equity,2145084
"AMERICAN INTERNATIONAL GROUP INC",0.17,AIG UN Equity,2027342
"AMAZON.COM INC",0.17,AMZN UW Equity,2000019
"AB ELECTROLUX",0.17,ELUXB SS Equity,B1KKBX6
"XCEL ENERGY INC",0.16,XEL UN Equity,2614807
"WYNDHAM WORLDWIDE",0.16,WYN UN Equity,B198391
"UNUM GROUP",0.16,UNM UN Equity,2433842
"TORCHMARK CORP",0.16,TMK UN Equity,2896713
"TOBU RAILWAY CO LTD",0.16,9001 JT Equity,6895169
"THOMSON REUTERS CORP",0.16,TRI CT Equity,2889371
"TE CONNECTIVITY LTD",0.16,TEL UN Equity,B62B7C3
"SUMITOMO RUBBER INDUSTRIES LTD ORD",0.16,5110 JT Equity,6858991
"STANLEY BLACK & DECKER",0.16,SWK UN Equity,B3Q2FJ4
"SONOVA HOLDING AG",0.16,SOON VX Equity,7156036
"SINGAPORE EXCHANGE (SGX) LTD ORD",0.16,SGX SP Equity,6303866
"SCHINDLER HOLDING AG",0.16,SCHP VX Equity,B11TCY0
"RIO TINTO LTD",0.16,RIO AT Equity,6220103
"REPUBLIC SERVICES INC",0.16,RSG UN Equity,2262530
"RELX NV",0.16,REN NA Equity,4148810
"REINSURANCE GROUP OF AMERICA",0.16,RGA UN Equity,2731193
"PNC FINANCIAL SERVICES GROUP",0.16,PNC UN Equity,2692665
"ORANGE",0.16,ORA FP Equity,5176177
"OBAYASHI CORP ORD",0.16,1802 JT Equity,6656407
"MOTOROLA SOLUTIONS INC",0.16,MSI UN Equity,B5BKPQ4
"MONDI PLC",0.16,MNDI LN Equity,B1CRLC4
"METRO INC -A",0.16,MRU CT Equity,2583952
"MASCO CORP",0.16,MAS UN Equity,2570200
"MARSH & MCLENNAN COS",0.16,MMC UN Equity,2567741
"LIBERTY PROPERTY TRUST",0.16,LPT UN Equity,2513681
"KIRIN HOLDINGS (BREWERY) CO LTD ORD",0.16,2503 JT Equity,6493745
"INVESTOR AB",0.16,INVEB SS Equity,5679591
"INGERSOLL-RAND PLC",0.16,IR UN Equity,B633030
"HCA HEALTHCARE INC",0.16,HCA UN Equity,B4MGBG6
"HARTFORD FINANCIAL SERVICES GROUP INC",0.16,HIG UN Equity,2476193
"HANNOVER RUECK",0.16,HNR1 GY Equity,4511809
"GIVAUDAN SA",0.16,GIVN VX Equity,5980613
"FISERV INC",0.16,FISV UW Equity,2342034
"FERGUSON PLC",0.16,FERG LN Equity,BFNWV48
"EVERSOURCE ENERGY",0.16,ES UN Equity,BVVN4Q8
"EDISON INTERNATIONAL",0.16,EIX UN Equity,2829515
"EATON CORP PLC",0.16,ETN UN Equity,B8KQN82
"DR PEPPER SNAPPLE GROUP I",0.16,DPS UN Equity,B2QW0Z8
"DIAGEO PLC",0.16,DGE LN Equity,0237400
"CUMMINS INC",0.16,CMI UN Equity,2240202
"CONSOLIDATED EDISON INC",0.16,ED UN Equity,2216850
"CMS ENERGY CORP",0.16,CMS UN Equity,2219224
"CGI GROUP INC - CLASS A",0.16,GIB/A CT Equity,2159740
"CENTRICA PLC",0.16,CNA LN Equity,B033F22
"CALTEX AUSTRALIA LTD ORD",0.16,CTX AT Equity,6161503
"BEIERSDORF",0.16,BEI GY Equity,5107401
"ATMOS ENERGY CORP",0.16,ATO UN Equity,2315359
"ASTELLAS PHARMA INC",0.16,4503 JT Equity,6985383
"ARAMARK",0.16,ARMK UN Equity,BH3XG17
"AIR PRODUCTS & CHEMICALS INC",0.16,APD UN Equity,2011602
"AETNA INC",0.16,AET UN Equity,2695921
"ADECCO SA",0.16,ADEN VX Equity,7110720
"3I GROUP PLC ORD",0.16,III LN Equity,B1YW440
"XL GROUP LTD",0.15,XL UN Equity,BD95VZ8
"WESTON (GEORGE) LTD",0.15,WN CT Equity,2956662
"UPM-KYMMENE OYJ",0.15,UPM FH Equity,5051252
"TATE & LYLE PLC",0.15,TATE LN Equity,0875413
"SYSCO CORP",0.15,SYY UN Equity,2868165
"SHERWIN-WILLIAMS CO",0.15,SHW UN Equity,2804211
"SGS SA",0.15,SGSN VX Equity,4824778
"SEVERN TRENT PLC",0.15,SVT LN Equity,B1FH8J7
"SEKISUI HOUSE LTD ORD",0.15,1928 JT Equity,6793906
"RENAULT SA",0.15,RNO FP Equity,4712798
"QUEST DIAGNOSTICS INC",0.15,DGX UN Equity,2702791
"OVERSEA-CHINESE BANKING CORP",0.15,OCBC SP Equity,B0F9V20
"OSAKA GAS CO LTD",0.15,9532 JT Equity,6661768
"NATIONAL AUSTRALIA BANK LTD",0.15,NAB AT Equity,6624608
"MCCORMICK & CO-NON VTG SHRS",0.15,MKC UN Equity,2550161
"LOBLAW COMPANIES LTD.",0.15,L CT Equity,2521800
"KIMBERLY-CLARK CORP",0.15,KMB UN Equity,2491839
"IMPERIAL OIL LTD",0.15,IMO CT Equity,2454241
"HEINEKEN NV",0.15,HEIA NA Equity,7792559
"GENERAL MILLS INC",0.15,GIS UN Equity,2367026
"EXPERIAN PLC",0.15,EXPN LN Equity,B19NLV4
"ECOLAB INC",0.15,ECL UN Equity,2304227
"DEXUS",0.15,DXS AT Equity,B033YN6
"DANAHER CORP",0.15,DHR UN Equity,2250870
"DAIKIN INDUSTRIES LTD ORD",0.15,6367 JT Equity,6250724
"COMPASS GROUP PLC",0.15,CPG LN Equity,BD6K457
"CLP HOLDINGS LTD",0.15,2 HK Equity,6097017
"CLOROX COMPANY",0.15,CLX UN Equity,2204026
"CHURCH & DWIGHT CO INC",0.15,CHD UN Equity,2195841
"BUNZL PLC",0.15,BNZL LN Equity,B0744B3
"AMERISOURCEBERGEN CORP",0.15,ABC UN Equity,2795393
"WPP PLC",0.14,WPP LN Equity,B8KF9B4
"WOOLWORTHS LTD",0.14,WOW AT Equity,6981239
"UBS GROUP AG",0.14,UBSG VX Equity,BRJL176
"TOPPAN PRINTING CO LTD ORD",0.14,7911 JT Equity,6897024
"TELSTRA CORP LTD",0.14,TLS AT Equity,6087289
"STARBUCKS CORP",0.14,SBUX UW Equity,2842255
"SOUTHWEST AIRLINES CO",0.14,LUV UN Equity,2831543
"SODEXO SA",0.14,SW FP Equity,7062713
"SINGAPORE TELECOM LTD",0.14,ST SP Equity,B02PY22
"SCRIPPS NETWORKS INTERACTIVE",0.14,SNI UW Equity,B39QT24
"REPSOL YPF SA",0.14,REP SQ Equity,5669354
"OMNICOM GROUP",0.14,OMC UN Equity,2279303
"MASTERCARD INC-CLASS A",0.14,MA UN Equity,B121557
"GOODYEAR TIRE & RUB.",0.14,GT UW Equity,2378200
"EBAY INC",0.14,EBAY UW Equity,2293819
"DANONE",0.14,BN FP Equity,B1Y9TB3
"CONAGRA BRANDS INC",0.14,CAG UN Equity,2215460
"CNP ASSURANCES SA",0.14,CNP FP Equity,5543986
"CIGNA CORP",0.14,CI UN Equity,2196479
"AXIS CAPITAL HOLDINGS LTD",0.14,AXS UN Equity,2677606
"ABBVIE INC",0.14,ABBV UN Equity,B92SR70
"WARTSILA OYJ ABP",0.13,WRT1V FH Equity,4525189
"UNITED OVERSEAS BANK LTD",0.13,UOB SP Equity,6916781
"TUI AG",0.13,TUI LN Equity,B11LJN4
"TORAY INDUSTRIES INC ORD",0.13,3402 JT Equity,6897143
"THERMO FISHER SCIENTIFIC INC",0.13,TMO UN Equity,2886907
"TELIA CO AB",0.13,TELIA SS Equity,5978384
"TAIHEIYO CEMENT CORP ORD",0.13,5233 JT Equity,6660204
"SUZUKEN CO LTD ORD",0.13,9987 JT Equity,6865560
"SHOWA SHELL SEKIYU KK ORD",0.13,5002 JT Equity,6805544
"PRYSMIAN",0.13,PRY IM Equity,B1W4V69
"ORIX CORP ORD",0.13,8591 JT Equity,6661144
"NOVOZYMES A/S",0.13,NZYMB DC Equity,B798FW0
"NIPPON STEEL & SUMITOMO METAL",0.13,5401 JT Equity,6642569
"MITSUBISHI CHEMICAL HOLDINGS",0.13,4188 JT Equity,B0JQTJ0
"LVMH MOET HENNESSY LOUIS VUITTON SE",0.13,MC FP Equity,4061412
"L OREAL SA",0.13,OR FP Equity,4057808
"KROGER CO",0.13,KR UN Equity,2497406
"KONINKLIJKE PHILIPS ELECTRONICS NV",0.13,PHIA NA Equity,5986622
"KOITO MANUFACTURING CO LTD ORD",0.13,7276 JT Equity,6496324
"INDUSTRIAL ALLIANCE INSURANC",0.13,IAG CT Equity,2543688
"IGM FINANCIAL INC.",0.13,IGM CT Equity,2469375
"HOLOGIC INC",0.13,HOLX UW Equity,2433530
"HEWLETT PACKARD ENTERPRISE COMPANY",0.13,HPE UN Equity,BYVYWS0
"HANG SENG BANK LTD ORD",0.13,11 HK Equity,6408374
"ENDESA SA",0.13,ELE SQ Equity,5271782
"EIFFAGE SA",0.13,FGR FP Equity,B13X013
"COCA-COLA HBC AG-CDI",0.13,CCH LN Equity,B9895B7
"BB&T CORP",0.13,BBT UN Equity,2830904
"BANCO BILBAO VIZCAYA ARGENTARIA SA",0.13,BBVA SQ Equity,5501906
"AUST AND NZ BANKING GROUP",0.13,ANZ AT Equity,6065586
"YUM! BRANDS",0.12,YUM UN Equity,2098876
"YAMAHA MOTOR CO LTD ORD",0.12,7272 JT Equity,6985264
"WM MORRISON SUPERMARKETS P L C",0.12,MRW LN Equity,0604316
"WEST JAPAN RAILWAY CO",0.12,9021 JT Equity,6957995
"WESFARMERS LTD",0.12,WES AT Equity,6948836
"TOLL BROTHERS INC",0.12,TOL UN Equity,2896092
"TOKIO MARINE HOLDINGS INC",0.12,8766 JT Equity,6513126
"TELUS CORPORATION",0.12,T CT Equity,2381093
"TEIJIN LTD",0.12,3401 JT Equity,6880507
"SWIRE PACIFIC LTD ORD A",0.12,19 HK Equity,6867748
"SOLVAY SA",0.12,SOLB BB Equity,4821100
"SOFTBANK GROUP CORP",0.12,9984 JT Equity,6770620
"SEKISUI CHEMICAL CO LTD ORD",0.12,4204 JT Equity,6793821
"SEI INVESTMENTS",0.12,SEIC UW Equity,2793610
"SBA COMMUNICATIONS CORP-CL A",0.12,SBAC UW Equity,BZ6TS23
"RESMED INC",0.12,RMD UN Equity,2732903
"POSTE ITALIANE SPA",0.12,PST IM Equity,BYYN701
"P G & E CORP",0.12,PCG UN Equity,2689560
"PARKER HANNIFIN CORP",0.12,PH UN Equity,2671501
"PANDORA A/S",0.12,PNDORA DC Equity,B44XTX8
"NOVO NORDISK A/S",0.12,NOVOB DC Equity,BHC8X90
"METTLER-TOLEDO INTL",0.12,MTD UN Equity,2126249
"LEGRAND SNC",0.12,LR FP Equity,B11ZRK9
"KYOCERA CORP ORD",0.12,6971 JT Equity,6499260
"KURITA WATER INDUSTRIES LTD",0.12,6370 JT Equity,6497963
"KEISEI ELECTRIC RAILWAY CO LTD ORD",0.12,9009 JT Equity,6487425
"KAMIGUMI CO LTD",0.12,9364 JT Equity,6482668
"INTL FLAVORS & FRAG",0.12,IFF UN Equity,2464165
"INTERNATIONAL CONSOLIDATED AIRLINES GROUP SA",0.12,IAG LN Equity,B5M6XQ7
"GPT GROUP",0.12,GPT AT Equity,6365866
"FUJI ELECTRIC (FUJI ELEC HLDGS) ORD",0.12,6504 JT Equity,6356365
"FRESENIUS SE",0.12,FRE GY Equity,4352097
"EDP - ENERGIAS DE PORTUGAL SA",0.12,EDP PL Equity,4103596
"DAIWA HOUSE INDUSTRY CO LTD ORD",0.12,1925 JT Equity,6251363
"DAI NIPPON PRINTING CO LTD ORD",0.12,7912 JT Equity,6250906
"DAIICHI SANKYO CO LTD ORD",0.12,4568 JT Equity,B0J7D91
"DAI-ICHI LIFE HOLDINGS INC",0.12,8750 JT Equity,B601QS4
"C H ROBINSON WORLDWIDE INC",0.12,CHRW UW Equity,2116228
"CAPITALAND MALL TRUST",0.12,CT SP Equity,6420129
"CANADIAN TIRE CORP-CLASS A",0.12,CTC/A CT Equity,2172286
"CAMDEN PROPERTY TRUST",0.12,CPT UN Equity,2166320
"CA INC",0.12,CA UW Equity,2214832
"BT GROUP PLC",0.12,BT/A LN Equity,3091357
"BARRATT DEVELOPMENTS PLC",0.12,BDEV LN Equity,0081180
"BANK LEUMI LE-ISRAEL ORD",0.12,LUMI IT Equity,6076425
"ATOS SE",0.12,ATO FP Equity,5654781
"ASX LTD ORD",0.12,ASX AT Equity,6129222
"ARCH CAPITAL GROUP LTD",0.12,ACGL UW Equity,2740542
"AMERIPRISE FINL",0.12,AMP UN Equity,B0J7D57
"AMADEUS IT GROUP SA",0.12,AMS SQ Equity,B3MSM28
"ABERTIS INFRAESTRUCTURAS SA",0.12,ABE SQ Equity,4065663
"WESTERN UN CO",0.11,WU UN Equity,B1F76F9
"WESTAR ENERGY INC",0.11,WR UN Equity,2484000
"VESTAS WIND SYSTEMS A/S",0.11,VWS DC Equity,5964651
"VALEO SA",0.11,FR FP Equity,BDC5ST8
"UNIBAIL-RODAMCO SE",0.11,UL NA Equity,B1YY4B3
"TOYO SEIKAN KAISHA LTD ORD",0.11,5901 JT Equity,6900267
"TOKYO GAS CO LTD",0.11,9531 JT Equity,6895448
"TESCO PLC",0.11,TSCO LN Equity,0884709
"TERNA SPA",0.11,TRN IM Equity,B01BN57
"SUNTORY BEVERAGE & FOOD LTD",0.11,2587 JT Equity,BBD7Q84
"SUN HUNG KAI PROPERTIES",0.11,16 HK Equity,6859927
"STRYKER CORP",0.11,SYK UN Equity,2853688
"STORA ENSO OYJ",0.11,STERV FH Equity,5072673
"STARHUB LTD",0.11,STH SP Equity,B1CNDB5
"SONIC HEALTHCARE (TECH AUST) ORD",0.11,SHL AT Equity,6821120
"SEMPRA ENERGY",0.11,SRE UN Equity,2138158
"SCHNEIDER ELECTRIC SA",0.11,SU FP Equity,4834108
"SAMPO OYJ",0.11,SAMPO FH Equity,5226038
"ROSS STORES",0.11,ROST UW Equity,2746711
"ROPER TECHNOLOGIES INC",0.11,ROP UN Equity,2749602
"RED ELECTRICA CORP SA",0.11,REE SQ Equity,BD6FXN3
"RECKITT BENCKISER GROUP PLC",0.11,RB/ LN Equity,B24CGK7
"QUALCOMM INC",0.11,QCOM UW Equity,2714923
"PRAXAIR INC",0.11,PX UN Equity,2699291
"PINNACLE WEST CAPITAL CORP",0.11,PNW UN Equity,2048804
"PERNOD RICARD SA",0.11,RI FP Equity,4682329
"PAYCHEX INC",0.11,PAYX UW Equity,2674458
"ORKLA ASA",0.11,ORK NO Equity,B1VQF42
"OGE ENERGY CORP",0.11,OGE UN Equity,2657802
"NWS HOLDINGS (PACIFIC PORT) LTD ORD",0.11,659 HK Equity,6568353
"NTT DATA CORP ORD",0.11,9613 JT Equity,6125639
"NICE LTD",0.11,NICE IT Equity,6647133
"MIZRAHI TEFAHOT BANK LTD ORD",0.11,MZTF IT Equity,6916703
"MERCK KGAA",0.11,MRK GY Equity,4741844
"KLA-TENCOR CORPORATION",0.11,KLAC UW Equity,2480138
"KINTETSU GROUP HOLDINGS CO LTD",0.11,9041 JT Equity,6492968
"KANEKA CORP",0.11,4118 JT Equity,6483360
"JOHNSON MATTHEY PLC",0.11,JMAT LN Equity,BZ4BQC7
"IMERYS SA",0.11,NK FP Equity,B011GL4
"HONG KONG & CHINA GAS LTD ORD",0.11,3 HK Equity,6436557
"HERSHEY CO/THE",0.11,HSY UN Equity,2422806
"GILDAN ACTIVEWEAR INC",0.11,GIL CT Equity,2254645
"GEBERIT AG",0.11,GEBN VX Equity,B1WGG93
"FUJITSU LTD ORD",0.11,6702 JT Equity,6356945
"FRESENIUS MEDICAL CARE AG & CO. KGaA (FMC) ST",0.11,FME GY Equity,5129074
"FLEX LTD",0.11,FLEX UW Equity,2353058
"FEDEX CORP",0.11,FDX UN Equity,2142784
"ENBRIDGE INC",0.11,ENB CT Equity,2466149
"EATON VANCE CORP",0.11,EV UN Equity,2301057
"DTE ENERGY CO",0.11,DTE UN Equity,2280220
"DOMINION ENERGY INC",0.11,D UN Equity,2542049
"CRH PLC",0.11,CRH LN Equity,0182704
"COCA-COLA EUROPEAN PARTNERS",0.11,CCE UN Equity,BYQQ3P5
"CBS B",0.11,CBS UN Equity,B0SRLH6
"CANON INC",0.11,7751 JT Equity,6172323
"CANADIAN PACIFIC RAILWAY LTD",0.11,CP CT Equity,2793115
"BROTHER INDUSTRIES LTD ORD",0.11,6448 JT Equity,6146500
"BOC HONG KONG HOLDINGS LTD ORD",0.11,2388 HK Equity,6536112
"BECTON DICKINSON AND CO",0.11,BDX UN Equity,2087807
"BARCLAYS PLC",0.11,BARC LN Equity,3134865
"ATCO LTD -CLASS I",0.11,ACO/X CT Equity,2060615
"AMERICAN WATER WORKS CO INC",0.11,AWK UN Equity,B2R3PV1
"ALLIANT ENERGY CORP",0.11,LNT UN Equity,2973821
"AISIN SEIKI CO LTD ORD",0.11,7259 JT Equity,6010702
"AIA GROUP LTD",0.11,1299 HK Equity,B4TX8S1
